temp,atemp,hum,windspeed,season,mnth,hr,weekday,holiday,workingday,weathersit,casual,registered,cnt
0.24,0.2879,0.81,0.0,1,1,0,6,0,0,1,3,13,16
0.22,0.2727,0.8,0.0,1,1,1,6,0,0,1,8,32,40
0.22,0.2727,0.8,0.0,1,1,2,6,0,0,1,5,27,32
0.24,0.2879,0.75,0.0,1,1,3,6,0,0,1,3,10,13
0.24,0.2879,0.75,0.0,1,1,4,6,0,0,1,0,1,1
0.24,0.2576,0.75,0.0896,1,1,5,6,0,0,2,0,1,1
0.22,0.2727,0.8,0.0,1,1,6,6,0,0,1,2,0,2
0.2,0.2576,0.86,0.0,1,1,7,6,0,0,1,1,2,3
0.24,0.2879,0.75,0.0,1,1,8,6,0,0,1,1,7,8
0.32,0.3485,0.76,0.0,1,1,9,6,0,0,1,8,6,14
0.38,0.3939,0.76,0.2537,1,1,10,6,0,0,1,12,24,36
0.36,0.3333,0.81,0.2836,1,1,11,6,0,0,1,26,30,56
0.42,0.4242,0.77,0.2836,1,1,12,6,0,0,1,29,55,84
0.46,0.4545,0.72,0.2985,1,1,13,6,0,0,2,47,47,94
0.46,0.4545,0.72,0.2836,1,1,14,6,0,0,2,35,71,106
0.44,0.4394,0.77,0.2985,1,1,15,6,0,0,2,40,70,110
0.42,0.4242,0.82,0.2985,1,1,16,6,0,0,2,41,52,93
0.44,0.4394,0.82,0.2836,1,1,17,6,0,0,2,15,52,67
0.42,0.4242,0.88,0.2537,1,1,18,6,0,0,3,9,26,35
0.42,0.4242,0.88,0.2537,1,1,19,6,0,0,3,6,31,37
0.4,0.4091,0.87,0.2537,1,1,20,6,0,0,2,11,25,36
0.4,0.4091,0.87,0.194,1,1,21,6,0,0,2,3,31,34
0.4,0.4091,0.94,0.2239,1,1,22,6,0,0,2,11,17,28
0.46,0.4545,0.88,0.2985,1,1,23,6,0,0,2,15,24,39
0.46,0.4545,0.88,0.2985,1,1,0,0,0,0,2,4,13,17
0.44,0.4394,0.94,0.2537,1,1,1,0,0,0,2,1,16,17
