hr,weekday,workingday,mnth,season,temp,atemp,hum,windspeed,weathersit,holiday,cnt
0,6,0,1,1,0.24,0.2879,0.81,0.0,1,0,16
1,6,0,1,1,0.22,0.2727,0.8,0.0,1,0,40
2,6,0,1,1,0.22,0.2727,0.8,0.0,1,0,32
3,6,0,1,1,0.24,0.2879,0.75,0.0,1,0,13
4,6,0,1,1,0.24,0.2879,0.75,0.0,1,0,1
5,6,0,1,1,0.24,0.2576,0.75,0.0896,2,0,1
6,6,0,1,1,0.22,0.2727,0.8,0.0,1,0,2
7,6,0,1,1,0.2,0.2576,0.86,0.0,1,0,3
8,6,0,1,1,0.24,0.2879,0.75,0.0,1,0,8
9,6,0,1,1,0.32,0.3485,0.76,0.0,1,0,14
10,6,0,1,1,0.38,0.3939,0.76,0.2537,1,0,36
11,6,0,1,1,0.36,0.3333,0.81,0.2836,1,0,56
12,6,0,1,1,0.42,0.4242,0.77,0.2836,1,0,84
13,6,0,1,1,0.46,0.4545,0.72,0.2985,2,0,94
14,6,0,1,1,0.46,0.4545,0.72,0.2836,2,0,106
15,6,0,1,1,0.44,0.4394,0.77,0.2985,2,0,110
16,6,0,1,1,0.42,0.4242,0.82,0.2985,2,0,93
17,6,0,1,1,0.44,0.4394,0.82,0.2836,2,0,67
18,6,0,1,1,0.42,0.4242,0.88,0.2537,3,0,35
19,6,0,1,1,0.42,0.4242,0.88,0.2537,3,0,37
20,6,0,1,1,0.4,0.4091,0.87,0.2537,2,0,36
21,6,0,1,1,0.4,0.4091,0.87,0.194,2,0,34
22,6,0,1,1,0.4,0.4091,0.94,0.2239,2,0,28
23,6,0,1,1,0.46,0.4545,0.88,0.2985,2,0,39
0,0,0,1,1,0.46,0.4545,0.88,0.2985,2,0,17
1,0,0,1,1,0.44,0.4394,0.94,0.2537,2,0,17
2,0,0,1,1,0.42,0.4242,1.0,0.2836,2,0,9
3,0,0,1,1,0.46,0.4545,0.94,0.194,2,0,6
4,0,0,1,1,0.46,0.4545,0.94,0.194,2,0,3
6,0,0,1,1,0.42,0.4242,0.77,0.2985,3,0,2
7,0,0,1,1,0.4,0.4091,0.76,0.194,2,0,1
8,0,0,1,1,0.4,0.4091,0.71,0.2239,3,0,8
9,0,0,1,1,0.38,0.3939,0.76,0.2239,2,0,20
10,0,0,1,1,0.36,0.3485,0.81,0.2239,2,0,53
11,0,0,1,1,0.36,0.3333,0.71,0.2537,2,0,70
12,0,0,1,1,0.36,0.3333,0.66,0.2985,2,0,93
13,0,0,1,1,0.36,0.3485,0.66,0.1343,2,0,75
14,0,0,1,1,0.36,0.3485,0.76,0.194,3,0,59
15,0,0,1,1,0.34,0.3333,0.81,0.1642,3,0,74
16,0,0,1,1,0.34,0.3333,0.71,0.1642,3,0,76
17,0,0,1,1,0.34,0.3333,0.57,0.194,1,0,65
18,0,0,1,1,0.36,0.3333,0.46,0.3284,2,0,53
19,0,0,1,1,0.32,0.2879,0.42,0.4478,1,0,30
20,0,0,1,1,0.3,0.2727,0.39,0.3582,1,0,22
21,0,0,1,1,0.26,0.2273,0.44,0.3284,1,0,31
22,0,0,1,1,0.24,0.2121,0.44,0.2985,1,0,9
23,0,0,1,1,0.22,0.2273,0.47,0.1642,1,0,8
0,1,1,1,1,0.22,0.197,0.44,0.3582,1,0,5
1,1,1,1,1,0.2,0.1667,0.44,0.4179,1,0,2
4,1,1,1,1,0.16,0.1364,0.47,0.3881,1,0,1
5,1,1,1,1,0.16,0.1364,0.47,0.2836,1,0,3
6,1,1,1,1,0.14,0.1061,0.5,0.3881,1,0,30
7,1,1,1,1,0.14,0.1364,0.5,0.194,1,0,64
8,1,1,1,1,0.14,0.1212,0.5,0.2836,1,0,154
9,1,1,1,1,0.16,0.1364,0.43,0.3881,1,0,88
10,1,1,1,1,0.18,0.1667,0.43,0.2537,1,0,44
11,1,1,1,1,0.2,0.1818,0.4,0.3284,1,0,51
12,1,1,1,1,0.22,0.2121,0.35,0.2985,1,0,61
13,1,1,1,1,0.24,0.2121,0.35,0.2836,1,0,61
14,1,1,1,1,0.26,0.2424,0.3,0.2836,1,0,77
15,1,1,1,1,0.26,0.2424,0.3,0.2537,1,0,72
16,1,1,1,1,0.26,0.2424,0.3,0.2537,1,0,76
17,1,1,1,1,0.24,0.2273,0.3,0.2239,1,0,157
18,1,1,1,1,0.24,0.2576,0.32,0.1045,1,0,157
19,1,1,1,1,0.2,0.2576,0.47,0.0,1,0,110
20,1,1,1,1,0.2,0.2273,0.47,0.1045,1,0,52
21,1,1,1,1,0.18,0.197,0.64,0.1343,1,0,52
22,1,1,1,1,0.14,0.1515,0.69,0.1343,1,0,20
23,1,1,1,1,0.18,0.2121,0.55,0.1045,1,0,12
0,2,1,1,1,0.16,0.1818,0.55,0.1045,1,0,5
1,2,1,1,1,0.16,0.1818,0.59,0.1045,1,0,2
2,2,1,1,1,0.14,0.1515,0.63,0.1343,1,0,1
4,2,1,1,1,0.14,0.1818,0.63,0.0896,1,0,2
5,2,1,1,1,0.12,0.1515,0.68,0.1045,1,0,4
6,2,1,1,1,0.12,0.1515,0.74,0.1045,1,0,36
7,2,1,1,1,0.12,0.1515,0.74,0.1343,1,0,94
8,2,1,1,1,0.14,0.1515,0.69,0.1642,1,0,179
9,2,1,1,1,0.16,0.1515,0.64,0.2239,1,0,100
10,2,1,1,1,0.16,0.1364,0.69,0.3284,2,0,42
11,2,1,1,1,0.22,0.2121,0.51,0.2985,1,0,57
12,2,1,1,1,0.22,0.2273,0.51,0.1642,1,0,78
13,2,1,1,1,0.24,0.2273,0.56,0.194,1,0,97
14,2,1,1,1,0.26,0.2576,0.52,0.2239,1,0,63
15,2,1,1,1,0.28,0.2727,0.52,0.2537,1,0,65
16,2,1,1,1,0.3,0.2879,0.49,0.2537,1,0,83
17,2,1,1,1,0.28,0.2727,0.48,0.2239,1,0,212
18,2,1,1,1,0.26,0.2576,0.48,0.194,1,0,182
19,2,1,1,1,0.24,0.2576,0.48,0.1045,1,0,112
20,2,1,1,1,0.24,0.2576,0.48,0.1045,1,0,54
21,2,1,1,1,0.22,0.2727,0.64,0.0,1,0,48
22,2,1,1,1,0.22,0.2576,0.64,0.0896,1,0,35
23,2,1,1,1,0.2,0.2273,0.69,0.0896,1,0,11
0,3,1,1,1,0.2,0.2576,0.64,0.0,1,0,6
1,3,1,1,1,0.16,0.197,0.74,0.0896,1,0,6
2,3,1,1,1,0.16,0.197,0.74,0.0896,1,0,2
4,3,1,1,1,0.24,0.2273,0.48,0.2239,1,0,2
5,3,1,1,1,0.22,0.2273,0.47,0.1642,1,0,3
6,3,1,1,1,0.2,0.197,0.47,0.2239,1,0,33
7,3,1,1,1,0.18,0.1818,0.43,0.194,1,0,88
8,3,1,1,1,0.2,0.1818,0.4,0.2985,1,0,195
9,3,1,1,1,0.22,0.197,0.37,0.3284,1,0,115
10,3,1,1,1,0.22,0.197,0.37,0.3284,1,0,57
11,3,1,1,1,0.26,0.2273,0.33,0.3284,1,0,46
12,3,1,1,1,0.26,0.2273,0.33,0.3284,1,0,79
13,3,1,1,1,0.28,0.2576,0.3,0.2985,1,0,71
14,3,1,1,1,0.3,0.2879,0.28,0.194,1,0,62
15,3,1,1,1,0.3,0.2879,0.28,0.194,1,0,62
16,3,1,1,1,0.3,0.3182,0.28,0.0896,1,0,89
17,3,1,1,1,0.24,0.2273,0.38,0.194,1,0,190
18,3,1,1,1,0.24,0.2424,0.38,0.1343,1,0,169
19,3,1,1,1,0.24,0.2576,0.38,0.1045,1,0,132
20,3,1,1,1,0.22,0.2273,0.47,0.1642,1,0,89
21,3,1,1,1,0.2,0.197,0.51,0.194,1,0,43
22,3,1,1,1,0.18,0.197,0.55,0.1343,1,0,42
23,3,1,1,1,0.2,0.2576,0.47,0.0,1,0,19
0,4,1,1,1,0.18,0.2424,0.55,0.0,1,0,11
1,4,1,1,1,0.16,0.2273,0.64,0.0,1,0,4
2,4,1,1,1,0.16,0.2273,0.64,0.0,1,0,2
4,4,1,1,1,0.16,0.197,0.64,0.0896,2,0,1
5,4,1,1,1,0.14,0.1818,0.69,0.0896,2,0,4
6,4,1,1,1,0.14,0.1667,0.63,0.1045,2,0,36
7,4,1,1,1,0.16,0.2273,0.59,0.0,2,0,95
8,4,1,1,1,0.16,0.2273,0.59,0.0,1,0,219
9,4,1,1,1,0.18,0.2424,0.51,0.0,2,0,122
10,4,1,1,1,0.2,0.2576,0.47,0.0,1,0,45
11,4,1,1,1,0.22,0.2576,0.44,0.0896,1,0,59
12,4,1,1,1,0.26,0.2879,0.35,0.0,1,0,84
13,4,1,1,1,0.26,0.2727,0.35,0.1045,1,0,67
14,4,1,1,1,0.28,0.2727,0.36,0.1642,1,0,70
15,4,1,1,1,0.28,0.2727,0.36,0.0,1,0,62
16,4,1,1,1,0.26,0.2576,0.38,0.1642,1,0,86
17,4,1,1,1,0.22,0.2273,0.51,0.1642,1,0,172
18,4,1,1,1,0.22,0.2273,0.51,0.1343,1,0,163
19,4,1,1,1,0.22,0.2576,0.55,0.0896,1,0,112
20,4,1,1,1,0.2,0.2121,0.51,0.1642,1,0,69
21,4,1,1,1,0.22,0.2121,0.55,0.2239,2,0,48
22,4,1,1,1,0.22,0.2121,0.51,0.2836,2,0,52
23,4,1,1,1,0.2,0.197,0.59,0.194,2,0,23
0,5,1,1,1,0.2,0.197,0.64,0.194,2,0,17
1,5,1,1,1,0.2,0.197,0.69,0.2239,2,0,7
2,5,1,1,1,0.2,0.197,0.69,0.2239,2,0,1
4,5,1,1,1,0.2,0.2121,0.69,0.1343,2,0,1
5,5,1,1,1,0.22,0.2727,0.55,0.0,3,0,5
6,5,1,1,1,0.2,0.2576,0.69,0.0,2,0,34
7,5,1,1,1,0.2,0.2121,0.69,0.1343,1,0,84
8,5,1,1,1,0.2,0.197,0.51,0.2537,1,0,210
9,5,1,1,1,0.2,0.1818,0.47,0.2985,1,0,134
10,5,1,1,1,0.22,0.197,0.37,0.3284,1,0,63
11,5,1,1,1,0.2,0.197,0.4,0.2239,2,0,67
12,5,1,1,1,0.2,0.197,0.37,0.2537,2,0,59
13,5,1,1,1,0.2,0.1818,0.37,0.2836,2,0,73
14,5,1,1,1,0.2,0.197,0.4,0.2537,2,0,50
15,5,1,1,1,0.2,0.2121,0.37,0.1642,2,0,72
16,5,1,1,1,0.2,0.2121,0.37,0.1642,2,0,87
17,5,1,1,1,0.2,0.2576,0.37,0.0,2,0,187
18,5,1,1,1,0.2,0.2273,0.4,0.0896,1,0,123
19,5,1,1,1,0.16,0.197,0.55,0.0896,1,0,95
20,5,1,1,1,0.18,0.2121,0.47,0.1045,1,0,51
21,5,1,1,1,0.18,0.197,0.47,0.1343,1,0,39
22,5,1,1,1,0.18,0.197,0.43,0.1642,2,0,36
23,5,1,1,1,0.18,0.197,0.51,0.1642,2,0,15
0,6,0,1,1,0.18,0.197,0.51,0.1642,2,0,25
1,6,0,1,1,0.18,0.2121,0.55,0.0896,2,0,16
2,6,0,1,1,0.18,0.2424,0.55,0.0,2,0,16
3,6,0,1,1,0.18,0.197,0.55,0.1642,3,0,7
4,6,0,1,1,0.18,0.197,0.55,0.1642,3,0,1
5,6,0,1,1,0.16,0.1667,0.74,0.1642,2,0,5
6,6,0,1,1,0.16,0.1667,0.74,0.1642,2,0,2
7,6,0,1,1,0.16,0.1818,0.74,0.1045,2,0,9
8,6,0,1,1,0.16,0.1818,0.93,0.1045,3,0,15
9,6,0,1,1,0.16,0.1818,0.93,0.1045,3,0,20
10,6,0,1,1,0.18,0.197,0.8,0.1642,2,0,61
11,6,0,1,1,0.2,0.1818,0.69,0.3881,2,0,62
12,6,0,1,1,0.2,0.1818,0.59,0.3582,2,0,98
13,6,0,1,1,0.2,0.1818,0.44,0.3284,1,0,102
14,6,0,1,1,0.2,0.1667,0.32,0.4925,1,0,95
15,6,0,1,1,0.2,0.1667,0.32,0.4478,1,0,74
16,6,0,1,1,0.18,0.1364,0.29,0.4478,1,0,76
17,6,0,1,1,0.16,0.1212,0.37,0.5522,1,0,69
18,6,0,1,1,0.14,0.1212,0.39,0.2985,1,0,55
19,6,0,1,1,0.14,0.1212,0.36,0.2537,1,0,30
20,6,0,1,1,0.12,0.1212,0.36,0.2537,1,0,28
21,6,0,1,1,0.12,0.1061,0.39,0.3582,1,0,37
22,6,0,1,1,0.12,0.1061,0.36,0.3881,1,0,34
23,6,0,1,1,0.1,0.0606,0.39,0.4478,1,0,22
0,0,0,1,1,0.1,0.0758,0.42,0.3881,1,0,25
1,0,0,1,1,0.1,0.0606,0.42,0.4627,1,0,12
2,0,0,1,1,0.1,0.0606,0.46,0.4627,1,0,11
3,0,0,1,1,0.1,0.0758,0.46,0.4179,1,0,4
4,0,0,1,1,0.08,0.0909,0.53,0.194,1,0,1
5,0,0,1,1,0.08,0.0909,0.53,0.194,1,0,1
6,0,0,1,1,0.1,0.0909,0.49,0.2836,1,0,1
7,0,0,1,1,0.08,0.0909,0.53,0.194,1,0,6
